bus_10003,bus_10006,bus_13003,bus_13012,bus_13022,bus_13026,bus_20003,bus_20007,bus_20012,bus_21004
112.45761307377245,152.78295210812652,171.04542099779655,159.6059925920609,171.76337398341317,156.01567188180277,154.67679056471349,157.6801425541535,123.30655654045712,65.47462245936802
113.13604084416147,149.35975245306972,168.21755292690338,156.89713900970332,166.6509164003501,155.35404939303365,155.84861452523566,161.08799327717222,124.35204891270578,69.53075676545384
113.81446861455049,145.93655279801288,165.38968485601018,154.18828542734576,161.53845881728705,154.69242690426455,157.0204384857578,164.49584400019097,125.39754128495444,73.58689107153967
114.49289638493951,142.51335314295608,162.561816785117,151.4794318449882,156.42600123422397,154.03080441549542,158.19226244627998,167.9036947232097,126.4430336572031,77.64302537762549
114.36484986201415,140.14703107444697,163.31325510416758,149.74853456199443,151.47667654398106,149.99644843312316,163.68926434700506,167.77187870887298,127.4734279198354,78.2130019458297
114.2368033390888,137.78070900593784,164.06469342321816,148.0176372790007,146.52735185373814,145.96209245075093,169.18626624773017,167.64006269453623,128.5038221824677,78.78297851403393
114.10875681616344,135.41438693742873,164.81613174226874,146.28673999600693,141.57802716349522,141.92773646837867,174.68326814845526,167.5082466801995,129.5342164451,79.35295508223814
112.67246411862531,131.06564650512541,166.25026080527977,146.7645262314285,142.5354042083276,136.7117192920872,174.09688398869588,169.94475342832035,130.3194087184421,79.86397712501169
111.23617142108718,126.71690607282207,167.68438986829082,147.2423124668501,143.49278125316002,131.49570211579572,173.5104998289365,172.38126017644117,131.1046009917842,80.37499916778522
109.79987872354906,122.36816564051874,169.11851893130185,147.72009870227168,144.4501582979924,126.27968493950425,172.92411566917713,174.81776692456202,131.88979326512631,80.88602121055877
109.17680558428768,129.20512819946393,163.46070010655902,145.56418558189984,146.98609111624765,134.51618385073849,169.69324414375947,169.72890167464598,133.20809021584844,81.4628350200383
108.55373244502628,136.04209075840913,157.80288128181618,143.408272461528,149.5220239345029,142.7526827619727,166.4623726183418,164.6400364247299,134.52638716657054,82.03964882951783
107.9306593057649,142.8790533173543,152.14506245707335,141.25235934115614,152.05795675275814,150.98918167320693,163.23150109292413,159.55117117481387,135.84468411729267,82.61646263899736
121.33436724276972,154.66362963409605,149.56524641801013,140.60528830691942,157.69287577662422,160.04523672723693,158.9767935056603,154.78067298388518,137.22637532122533,83.30996270719498
134.7380751797745,166.44820595083783,146.98543037894692,139.9582172726827,163.32779480049027,169.10129178126692,154.72208591839646,150.01017479295646,138.60806652515802,84.00346277539262
148.14178311677932,178.23278226757958,144.4056143398837,139.31114623844599,168.96271382435634,178.15734683529692,150.46737833113264,145.23967660202777,139.98975772909068,84.69696284359024
